Product,Season,Location,Price (₹)
Green chutney,Summer,Hyderabad,73.87
Tamarind chutney,Summer,Lucknow,66.58
Schezwan sauce,Summer,Delhi,79.37
Mayonnaise,Monsoon,Mumbai,92.66
Vinegar,Winter,Ahmedabad,53.16
Soya sauce,Winter,Pune,91.45
Tea leaves,Summer,Hyderabad,303.97
Coffee powder,Summer,Chennai,466.9
Sugar syrup,Summer,Ahmedabad,53.52
Ice cubes,Monsoon,Lucknow,6.91
Lemon juice,Monsoon,Bangalore,22.13
"Flavoring syrups (rose, khus, etc.)",Summer,Chennai,166.28
Milk powder,Summer,Bangalore,427.77
"Dry fruits (cashew, almond, raisins)",Summer,Delhi,584.44
"Essence (vanilla, rose, etc.)",Winter,Mumbai,377.36
Corn starch,Summer,Pune,88.94
Condensed milk,Summer,Chennai,92.4
Salt,Winter,Kolkata,12.41
Sugar,Summer,Hyderabad,40.58
Rice,Winter,Bangalore,64.16
Wheat flour (Atta),Summer,Chennai,40.27
Maida (Refined flour),Winter,Kolkata,38.55
Gram flour (Besan),Monsoon,Hyderabad,102.5
Corn flour,Monsoon,Jaipur,48.75
Potato,Winter,Bangalore,31.75
Onion,Monsoon,Kolkata,38.42
Tomato,Winter,Jaipur,73.1
Cabbage,Monsoon,Delhi,19.55
Capsicum,Winter,Pune,42.08
Carrot,Summer,Mumbai,38.54
Green chili,Monsoon,Bangalore,51.33
Coriander leaves,Winter,Chennai,18.25
Garlic,Winter,Pune,81.46
Ginger,Monsoon,Bangalore,63.5
Lemon,Winter,Chennai,37.04
Milk,Monsoon,Delhi,58.21
Paneer,Winter,Bangalore,310.35
Butter,Monsoon,Ahmedabad,431.8
Ghee,Winter,Hyderabad,645.54
Cheese,Summer,Jaipur,291.27
Curd / Yogurt,Winter,Delhi,48.45
Eggs,Winter,Pune,102.98
Chicken,Winter,Ahmedabad,275.22
Refined oil,Winter,Bangalore,139.38
Mustard oil,Summer,Chennai,163.36
Vanaspati / Dalda,Winter,Kolkata,108.2
Coconut oil,Monsoon,Ahmedabad,212.48
Turmeric powder,Winter,Lucknow,209.71
Red chili powder,Summer,Kolkata,185.53
Cumin seeds,Monsoon,Kolkata,220.43
Coriander powder,Monsoon,Ahmedabad,147.4
Garam masala,Summer,Pune,258.17
Black salt,Monsoon,Lucknow,84.01
Chaat masala,Winter,Mumbai,150.64
Pepper powder,Monsoon,Ahmedabad,364.08
Mustard seeds,Summer,Bangalore,106.91
Bread,Summer,Chennai,45.69
Pav / Buns,Winter,Ahmedabad,27.48
Burger buns,Monsoon,Kolkata,30.67
Noodles,Monsoon,Kolkata,56.12
Idli / Dosa batter,Summer,Chennai,53.32
Tomato ketchup,Winter,Lucknow,106.66
Green chutney,Winter,Jaipur,80.95
Tamarind chutney,Summer,Pune,56.96
Schezwan sauce,Monsoon,Pune,78.14
Mayonnaise,Winter,Lucknow,116.65
Vinegar,Winter,Bangalore,54.58
Soya sauce,Winter,Lucknow,36.94
Tea leaves,Summer,Delhi,392.92
Coffee powder,Summer,Jaipur,420.71
Sugar syrup,Monsoon,Kolkata,33.6
Ice cubes,Monsoon,Jaipur,5.75
Lemon juice,Winter,Ahmedabad,23.93
"Flavoring syrups (rose, khus, etc.)",Monsoon,Mumbai,197.76
Milk powder,Winter,Bangalore,352.84
"Dry fruits (cashew, almond, raisins)",Monsoon,Lucknow,409.13
"Essence (vanilla, rose, etc.)",Summer,Hyderabad,353.08
Corn starch,Winter,Hyderabad,62.52
Condensed milk,Monsoon,Ahmedabad,132.59
Salt,Summer,Pune,14.19
Sugar,Monsoon,Pune,40.67
Rice,Summer,Chennai,58.19
Wheat flour (Atta),Monsoon,Pune,31.58
Maida (Refined flour),Monsoon,Delhi,33.84
Gram flour (Besan),Monsoon,Pune,102.07
Corn flour,Monsoon,Jaipur,59.81
Potato,Monsoon,Ahmedabad,32.82
Onion,Monsoon,Jaipur,51.41
Tomato,Summer,Bangalore,59.34
Cabbage,Summer,Jaipur,16.09
Capsicum,Summer,Ahmedabad,46.59
Carrot,Summer,Lucknow,45.24
Green chili,Winter,Delhi,42.58
Coriander leaves,Winter,Jaipur,17.31
Garlic,Winter,Chennai,64.4
Ginger,Monsoon,Bangalore,52.3
Lemon,Winter,Pune,57.51
Milk,Monsoon,Kolkata,53.87
Paneer,Monsoon,Delhi,208.36
Butter,Winter,Pune,402.19
Ghee,Summer,Lucknow,525.58
Cheese,Winter,Hyderabad,324.73
Curd / Yogurt,Summer,Delhi,56.78
Eggs,Winter,Mumbai,83.15
Chicken,Winter,Lucknow,235.34
Refined oil,Summer,Chennai,134.41
Mustard oil,Summer,Delhi,155.75
Vanaspati / Dalda,Winter,Jaipur,100.41
Coconut oil,Winter,Chennai,250.4
Turmeric powder,Monsoon,Hyderabad,139.87
Red chili powder,Monsoon,Chennai,246.94
Cumin seeds,Summer,Hyderabad,241.69
Coriander powder,Monsoon,Bangalore,112.07
Garam masala,Monsoon,Bangalore,248.51
Black salt,Summer,Bangalore,69.89
Chaat masala,Winter,Kolkata,126.68
Pepper powder,Winter,Chennai,445.92
Mustard seeds,Summer,Hyderabad,98.74
Bread,Monsoon,Chennai,46.39
Pav / Buns,Summer,Kolkata,40.01
Burger buns,Winter,Ahmedabad,32.77
Noodles,Monsoon,Mumbai,50.04
Idli / Dosa batter,Summer,Hyderabad,49.72
Tomato ketchup,Monsoon,Kolkata,99.55
Green chutney,Summer,Chennai,78.81
Tamarind chutney,Monsoon,Jaipur,62.52
Schezwan sauce,Summer,Ahmedabad,97.97
Mayonnaise,Summer,Lucknow,92.76
Vinegar,Summer,Lucknow,63.15
Soya sauce,Winter,Bangalore,70.96
Tea leaves,Monsoon,Mumbai,238.83
Coffee powder,Summer,Pune,393.01
Sugar syrup,Summer,Chennai,34.86
Ice cubes,Winter,Kolkata,6.39
Lemon juice,Summer,Chennai,41.27
"Flavoring syrups (rose, khus, etc.)",Winter,Kolkata,175.84
Milk powder,Winter,Pune,500.86
"Dry fruits (cashew, almond, raisins)",Summer,Delhi,537.88
"Essence (vanilla, rose, etc.)",Winter,Delhi,213.46
Corn starch,Monsoon,Mumbai,87.52
Condensed milk,Winter,Ahmedabad,105.21
Salt,Summer,Jaipur,14.65
Sugar,Monsoon,Hyderabad,39.65
Rice,Monsoon,Pune,45.37
Wheat flour (Atta),Monsoon,Hyderabad,34.63
Maida (Refined flour),Monsoon,Bangalore,32.17
Gram flour (Besan),Summer,Ahmedabad,79.88
Corn flour,Monsoon,Mumbai,57.68
Potato,Monsoon,Chennai,33.55
Onion,Summer,Delhi,38.97
Tomato,Monsoon,Pune,22.92
Cabbage,Winter,Jaipur,20.95
Capsicum,Monsoon,Delhi,66.38
Carrot,Winter,Delhi,43.99
Green chili,Summer,Ahmedabad,69.41
Coriander leaves,Winter,Mumbai,16.16
Garlic,Winter,Hyderabad,97.75
Ginger,Winter,Kolkata,56.3
Lemon,Winter,Chennai,61.6
Milk,Summer,Hyderabad,72.71
Paneer,Summer,Kolkata,256.38
Butter,Monsoon,Delhi,410.1
Ghee,Winter,Hyderabad,620.84
Cheese,Summer,Chennai,305.39
Curd / Yogurt,Winter,Delhi,54.85
Eggs,Monsoon,Hyderabad,101.81
Chicken,Summer,Chennai,213.38
Refined oil,Winter,Mumbai,133.38
Mustard oil,Winter,Delhi,199.21
Vanaspati / Dalda,Summer,Kolkata,128.03
Coconut oil,Summer,Hyderabad,193.5
Turmeric powder,Summer,Delhi,120.59
Red chili powder,Monsoon,Pune,201.49
Cumin seeds,Summer,Ahmedabad,212.86
Coriander powder,Monsoon,Mumbai,142.12
Garam masala,Winter,Jaipur,268.02
Black salt,Monsoon,Mumbai,91.71
Chaat masala,Summer,Jaipur,144.33
Pepper powder,Summer,Lucknow,326.77
Mustard seeds,Summer,Pune,115.34
Bread,Winter,Chennai,48.47
Pav / Buns,Winter,Kolkata,29.93
Burger buns,Monsoon,Jaipur,45.65
Noodles,Monsoon,Lucknow,31.24
Idli / Dosa batter,Winter,Lucknow,58.08
Tomato ketchup,Winter,Jaipur,87.4
Green chutney,Summer,Jaipur,73.08
Tamarind chutney,Monsoon,Bangalore,103.58
Schezwan sauce,Monsoon,Kolkata,88.59
Mayonnaise,Winter,Mumbai,91.89
Vinegar,Monsoon,Chennai,42.49
Soya sauce,Summer,Jaipur,73.81
Tea leaves,Winter,Hyderabad,254.42
Coffee powder,Winter,Bangalore,312.53
Sugar syrup,Summer,Chennai,38.71
Ice cubes,Summer,Chennai,9.08
Lemon juice,Monsoon,Kolkata,27.94
"Flavoring syrups (rose, khus, etc.)",Monsoon,Delhi,106.08
Milk powder,Summer,Kolkata,498.6
"Dry fruits (cashew, almond, raisins)",Winter,Lucknow,660.62
"Essence (vanilla, rose, etc.)",Summer,Mumbai,327.48
Corn starch,Winter,Hyderabad,85.64
Condensed milk,Monsoon,Lucknow,97.8
Salt,Monsoon,Hyderabad,12.66
Sugar,Monsoon,Kolkata,42.13
Rice,Winter,Lucknow,40.34
Wheat flour (Atta),Winter,Bangalore,41.79
Maida (Refined flour),Winter,Bangalore,28.2
Gram flour (Besan),Monsoon,Hyderabad,89.52
Corn flour,Monsoon,Delhi,59.48
Potato,Summer,Pune,34.48
Onion,Monsoon,Jaipur,36.97
Tomato,Summer,Bangalore,26.25
Cabbage,Winter,Mumbai,20.93
Capsicum,Summer,Hyderabad,47.56
Carrot,Monsoon,Kolkata,49.69
Green chili,Monsoon,Chennai,44.16
Coriander leaves,Winter,Pune,16.62
Garlic,Summer,Chennai,60.38
Ginger,Summer,Delhi,52.78
Lemon,Summer,Mumbai,58.94
Milk,Winter,Kolkata,61.8
Paneer,Winter,Delhi,266.42
Butter,Summer,Ahmedabad,429.91
Ghee,Monsoon,Mumbai,525.96
Cheese,Monsoon,Chennai,393.1
Curd / Yogurt,Summer,Ahmedabad,54.15
Eggs,Monsoon,Bangalore,95.38
Chicken,Monsoon,Lucknow,166.97
Refined oil,Summer,Jaipur,120.29
Mustard oil,Winter,Ahmedabad,167.3
Vanaspati / Dalda,Summer,Hyderabad,107.85
Coconut oil,Monsoon,Lucknow,200.28
Turmeric powder,Summer,Lucknow,171.66
Red chili powder,Monsoon,Bangalore,126.63
Cumin seeds,Winter,Jaipur,152.64
Coriander powder,Winter,Kolkata,143.43
Garam masala,Summer,Bangalore,332.78
Black salt,Summer,Lucknow,61.28
Chaat masala,Winter,Pune,115.25
Pepper powder,Winter,Delhi,390.55
Mustard seeds,Winter,Jaipur,114.28
Bread,Winter,Pune,37.84
Pav / Buns,Monsoon,Jaipur,38.85
Burger buns,Monsoon,Delhi,32.93
Noodles,Summer,Lucknow,44.28
Idli / Dosa batter,Summer,Bangalore,57.96
Tomato ketchup,Winter,Kolkata,125.68
Green chutney,Monsoon,Mumbai,97.03
Tamarind chutney,Monsoon,Hyderabad,85.24
Schezwan sauce,Winter,Ahmedabad,82.3
Mayonnaise,Monsoon,Pune,98.15
Vinegar,Monsoon,Pune,41.22
Soya sauce,Summer,Jaipur,75.87
Tea leaves,Summer,Ahmedabad,241.41
Coffee powder,Winter,Pune,491.0
Sugar syrup,Monsoon,Delhi,54.34
Ice cubes,Monsoon,Mumbai,7.25
Lemon juice,Monsoon,Kolkata,24.87
"Flavoring syrups (rose, khus, etc.)",Summer,Bangalore,120.0
Milk powder,Summer,Delhi,344.17
"Dry fruits (cashew, almond, raisins)",Summer,Bangalore,614.75
"Essence (vanilla, rose, etc.)",Monsoon,Mumbai,332.81
Corn starch,Summer,Mumbai,98.11
Condensed milk,Winter,Lucknow,103.81
Salt,Monsoon,Kolkata,10.9
Sugar,Winter,Kolkata,40.62
Rice,Winter,Delhi,58.29
Wheat flour (Atta),Winter,Hyderabad,36.66
Maida (Refined flour),Winter,Chennai,32.67
Gram flour (Besan),Winter,Bangalore,83.49
Corn flour,Summer,Pune,52.45
Potato,Winter,Kolkata,37.53
Onion,Winter,Pune,33.88
Tomato,Summer,Ahmedabad,38.66
Cabbage,Summer,Chennai,25.46
Capsicum,Winter,Chennai,53.87
Carrot,Winter,Hyderabad,49.2
Green chili,Winter,Mumbai,40.7
Coriander leaves,Winter,Jaipur,13.93
Garlic,Monsoon,Jaipur,92.17
Ginger,Winter,Bangalore,70.36
Lemon,Monsoon,Pune,59.79
Milk,Monsoon,Mumbai,67.22
Paneer,Monsoon,Chennai,269.39
Butter,Summer,Bangalore,509.21
Ghee,Monsoon,Lucknow,596.27
Cheese,Summer,Mumbai,294.63
Curd / Yogurt,Monsoon,Kolkata,59.03
Eggs,Summer,Lucknow,112.04
Chicken,Monsoon,Hyderabad,211.21
Refined oil,Monsoon,Lucknow,143.52
Mustard oil,Monsoon,Lucknow,165.13
Vanaspati / Dalda,Monsoon,Kolkata,116.42
Coconut oil,Summer,Bangalore,193.15
Turmeric powder,Winter,Bangalore,133.64
Red chili powder,Summer,Delhi,168.66
Cumin seeds,Monsoon,Hyderabad,187.37
Coriander powder,Summer,Delhi,154.32
Garam masala,Summer,Ahmedabad,302.69
Black salt,Winter,Lucknow,98.92
Chaat masala,Summer,Mumbai,145.34
Pepper powder,Summer,Mumbai,362.8
Mustard seeds,Winter,Pune,97.68
Bread,Winter,Pune,34.14
Pav / Buns,Summer,Hyderabad,25.21
Burger buns,Winter,Delhi,37.22
Noodles,Monsoon,Pune,49.96
Idli / Dosa batter,Monsoon,Lucknow,58.89
Tomato ketchup,Summer,Jaipur,100.23
Green chutney,Winter,Bangalore,68.4
Tamarind chutney,Summer,Jaipur,79.98
Schezwan sauce,Monsoon,Mumbai,89.62
Mayonnaise,Summer,Hyderabad,106.82
Vinegar,Winter,Bangalore,42.51
Soya sauce,Monsoon,Mumbai,60.38
Tea leaves,Monsoon,Mumbai,197.81
Coffee powder,Monsoon,Ahmedabad,310.24
Sugar syrup,Winter,Jaipur,49.46
Ice cubes,Winter,Delhi,7.66
Lemon juice,Summer,Ahmedabad,33.67
"Flavoring syrups (rose, khus, etc.)",Monsoon,Bangalore,122.24
Milk powder,Summer,Bangalore,433.51
"Dry fruits (cashew, almond, raisins)",Monsoon,Chennai,547.84
"Essence (vanilla, rose, etc.)",Summer,Bangalore,356.87
Corn starch,Monsoon,Lucknow,92.56
Condensed milk,Winter,Ahmedabad,78.08
Salt,Summer,Delhi,15.98
Sugar,Monsoon,Bangalore,36.98
Rice,Monsoon,Hyderabad,37.49
Wheat flour (Atta),Winter,Jaipur,41.25
Maida (Refined flour),Monsoon,Hyderabad,31.33
Gram flour (Besan),Winter,Hyderabad,103.06
Corn flour,Monsoon,Lucknow,50.24
Potato,Summer,Lucknow,28.86
Onion,Summer,Delhi,36.29
Tomato,Monsoon,Pune,69.09
Cabbage,Winter,Ahmedabad,28.61
Capsicum,Summer,Kolkata,40.07
Carrot,Winter,Hyderabad,36.15
Green chili,Monsoon,Mumbai,37.93
Coriander leaves,Monsoon,Chennai,21.14
Garlic,Summer,Kolkata,87.57
Ginger,Monsoon,Delhi,87.5
Lemon,Winter,Mumbai,34.83
Milk,Summer,Jaipur,69.75
Paneer,Summer,Kolkata,230.58
Butter,Monsoon,Chennai,556.04
Ghee,Winter,Ahmedabad,694.97
Cheese,Summer,Pune,519.37
Curd / Yogurt,Summer,Chennai,60.5
Eggs,Monsoon,Jaipur,91.05
Chicken,Summer,Mumbai,211.33
Refined oil,Monsoon,Mumbai,141.11
Mustard oil,Winter,Bangalore,128.71
Vanaspati / Dalda,Summer,Kolkata,137.57
Coconut oil,Summer,Jaipur,195.77
Turmeric powder,Monsoon,Chennai,155.15
Red chili powder,Monsoon,Delhi,247.54
Cumin seeds,Winter,Mumbai,220.3
Coriander powder,Winter,Kolkata,113.4
Garam masala,Summer,Chennai,277.84
Black salt,Summer,Lucknow,109.44
Chaat masala,Winter,Mumbai,107.96
Pepper powder,Winter,Kolkata,426.14
Mustard seeds,Winter,Lucknow,116.09
Bread,Winter,Hyderabad,28.13
Pav / Buns,Monsoon,Hyderabad,38.22
Burger buns,Monsoon,Mumbai,48.97
Noodles,Winter,Mumbai,54.85
Idli / Dosa batter,Summer,Jaipur,66.98
Tomato ketchup,Monsoon,Ahmedabad,76.58
Green chutney,Summer,Jaipur,77.61
Tamarind chutney,Summer,Chennai,74.67
Schezwan sauce,Monsoon,Delhi,107.91
Mayonnaise,Winter,Lucknow,106.87
Vinegar,Summer,Kolkata,44.48
Soya sauce,Summer,Mumbai,58.78
Tea leaves,Monsoon,Chennai,324.08
Coffee powder,Summer,Hyderabad,444.52
Sugar syrup,Winter,Lucknow,63.95
Ice cubes,Monsoon,Chennai,7.53
Lemon juice,Monsoon,Mumbai,35.53
"Flavoring syrups (rose, khus, etc.)",Monsoon,Jaipur,195.15
Milk powder,Monsoon,Chennai,399.43
"Dry fruits (cashew, almond, raisins)",Monsoon,Ahmedabad,567.27
"Essence (vanilla, rose, etc.)",Summer,Mumbai,236.9
Corn starch,Monsoon,Chennai,85.43
Condensed milk,Winter,Chennai,84.39
Salt,Summer,Mumbai,13.16
Sugar,Monsoon,Jaipur,38.09
Rice,Summer,Mumbai,62.75
Wheat flour (Atta),Monsoon,Ahmedabad,41.0
Maida (Refined flour),Monsoon,Ahmedabad,42.79
Gram flour (Besan),Winter,Ahmedabad,73.99
Corn flour,Winter,Jaipur,44.87
Potato,Monsoon,Lucknow,24.75
Onion,Monsoon,Pune,65.22
Tomato,Monsoon,Delhi,77.72
Cabbage,Monsoon,Hyderabad,15.74
Capsicum,Monsoon,Delhi,33.13
Carrot,Monsoon,Kolkata,44.33
Green chili,Monsoon,Bangalore,65.38
Coriander leaves,Summer,Kolkata,10.96
Garlic,Monsoon,Chennai,77.84
Ginger,Winter,Hyderabad,59.29
Lemon,Winter,Lucknow,58.74
Milk,Winter,Jaipur,53.47
Paneer,Summer,Chennai,298.77
Butter,Winter,Chennai,567.41
Ghee,Monsoon,Mumbai,583.92
Cheese,Winter,Bangalore,285.63
Curd / Yogurt,Monsoon,Hyderabad,50.33
Eggs,Winter,Jaipur,86.29
Chicken,Monsoon,Ahmedabad,233.72
Refined oil,Winter,Bangalore,138.58
Mustard oil,Summer,Chennai,179.07
Vanaspati / Dalda,Summer,Delhi,147.62
Coconut oil,Summer,Kolkata,249.94
Turmeric powder,Winter,Lucknow,124.5
Red chili powder,Winter,Ahmedabad,130.0
Cumin seeds,Summer,Ahmedabad,207.03
Coriander powder,Summer,Kolkata,117.64
Garam masala,Summer,Ahmedabad,307.38
Black salt,Monsoon,Pune,87.65
Chaat masala,Monsoon,Lucknow,132.08
Pepper powder,Winter,Jaipur,400.38
Mustard seeds,Summer,Delhi,94.66
Bread,Winter,Mumbai,49.05
Pav / Buns,Winter,Mumbai,34.45
Burger buns,Winter,Ahmedabad,33.51
Noodles,Summer,Bangalore,34.09
Idli / Dosa batter,Monsoon,Hyderabad,58.26
Tomato ketchup,Summer,Kolkata,114.14
Green chutney,Winter,Lucknow,74.71
Tamarind chutney,Summer,Ahmedabad,98.56
Schezwan sauce,Summer,Jaipur,103.73
Mayonnaise,Winter,Jaipur,99.65
Vinegar,Winter,Jaipur,35.56
Soya sauce,Winter,Mumbai,56.31
Tea leaves,Winter,Bangalore,310.99
Coffee powder,Monsoon,Jaipur,562.29
Sugar syrup,Monsoon,Chennai,50.98
Ice cubes,Summer,Delhi,6.35
Lemon juice,Monsoon,Chennai,29.98
"Flavoring syrups (rose, khus, etc.)",Monsoon,Pune,171.19
Milk powder,Summer,Bangalore,394.76
"Dry fruits (cashew, almond, raisins)",Winter,Chennai,589.89
"Essence (vanilla, rose, etc.)",Summer,Bangalore,393.01
Corn starch,Monsoon,Hyderabad,79.13
Condensed milk,Winter,Chennai,85.72
Salt,Monsoon,Hyderabad,12.56
Sugar,Winter,Chennai,46.16
Rice,Monsoon,Jaipur,40.09
Wheat flour (Atta),Monsoon,Ahmedabad,40.66
Maida (Refined flour),Winter,Kolkata,37.87
Gram flour (Besan),Winter,Delhi,75.03
Corn flour,Monsoon,Ahmedabad,52.04
Potato,Monsoon,Pune,27.09
Onion,Summer,Ahmedabad,70.59
Tomato,Winter,Chennai,67.59
Cabbage,Winter,Pune,18.35
Capsicum,Winter,Mumbai,40.85
Carrot,Winter,Chennai,49.0
Green chili,Winter,Kolkata,63.95
Coriander leaves,Summer,Chennai,12.9
Garlic,Winter,Lucknow,109.7
Ginger,Winter,Pune,66.99
Lemon,Summer,Kolkata,37.18
Milk,Monsoon,Ahmedabad,76.55
Paneer,Summer,Lucknow,191.41
Butter,Summer,Kolkata,553.45
Ghee,Monsoon,Kolkata,549.42
Cheese,Winter,Bangalore,352.29
Curd / Yogurt,Winter,Pune,51.61
Eggs,Summer,Chennai,92.37
Chicken,Winter,Pune,256.56
Refined oil,Monsoon,Mumbai,154.19
Mustard oil,Summer,Lucknow,167.9
Vanaspati / Dalda,Monsoon,Mumbai,95.3
Coconut oil,Summer,Hyderabad,199.37
Turmeric powder,Monsoon,Bangalore,160.29
Red chili powder,Summer,Ahmedabad,115.84
Cumin seeds,Summer,Mumbai,215.53
Coriander powder,Winter,Bangalore,166.66
Garam masala,Monsoon,Jaipur,211.95
Black salt,Monsoon,Bangalore,71.66
Chaat masala,Monsoon,Ahmedabad,110.6
Pepper powder,Winter,Chennai,363.44
Mustard seeds,Monsoon,Bangalore,101.44
Bread,Winter,Mumbai,32.79
Pav / Buns,Monsoon,Kolkata,30.78
Burger buns,Summer,Mumbai,45.91
Noodles,Monsoon,Mumbai,32.0
Idli / Dosa batter,Summer,Mumbai,79.91
Tomato ketchup,Winter,Lucknow,110.49
Green chutney,Summer,Delhi,74.32
Tamarind chutney,Summer,Kolkata,90.23
Schezwan sauce,Monsoon,Kolkata,108.56
Mayonnaise,Winter,Hyderabad,107.27
Vinegar,Winter,Lucknow,38.25
Soya sauce,Winter,Chennai,71.77
Tea leaves,Summer,Lucknow,232.89
Coffee powder,Monsoon,Hyderabad,346.9
Sugar syrup,Winter,Mumbai,29.64
Ice cubes,Monsoon,Bangalore,6.68
Lemon juice,Winter,Chennai,34.96
"Flavoring syrups (rose, khus, etc.)",Winter,Bangalore,97.97
Milk powder,Winter,Pune,401.67
"Dry fruits (cashew, almond, raisins)",Winter,Bangalore,532.77
"Essence (vanilla, rose, etc.)",Winter,Delhi,330.91
Corn starch,Summer,Chennai,81.49
Condensed milk,Summer,Jaipur,81.12
Salt,Summer,Hyderabad,13.5
Sugar,Winter,Pune,42.7
Rice,Winter,Lucknow,53.06
Wheat flour (Atta),Summer,Jaipur,47.76
Maida (Refined flour),Monsoon,Kolkata,32.44
Gram flour (Besan),Monsoon,Pune,96.4
Corn flour,Winter,Lucknow,47.92
Potato,Winter,Bangalore,21.78
Onion,Summer,Mumbai,52.78
Tomato,Winter,Mumbai,76.97
Cabbage,Summer,Ahmedabad,19.92
Capsicum,Winter,Pune,49.34
Carrot,Summer,Kolkata,40.94
Green chili,Winter,Bangalore,62.02
Coriander leaves,Monsoon,Delhi,14.44
Garlic,Monsoon,Kolkata,99.54
Ginger,Summer,Ahmedabad,84.22
Lemon,Summer,Mumbai,41.26
Milk,Monsoon,Mumbai,56.36
Paneer,Winter,Chennai,294.19
Butter,Monsoon,Jaipur,445.89
Ghee,Winter,Pune,572.79
